id,raw_news_id,title,url,content,source,category,published_at,content_length,status,created_at,updated_at,summary,summary_model,summary_status,summary_created_at,summary_updated_at
31,1,De-Brainrot Vacations,https://devz.cl/posts/i-spent-my-vacations-de-brainrotting/,De-Brainrot Vacations,https://news.ycombinator.com/news,기타,,21,skipped_short_content,2026-09-08T02:48:32,2026-09-09T20:59:00,,,,,
32,2,bzip3,https://github.com/iczelia/bzip3,bzip3,https://news.ycombinator.com/news,기타,,5,skipped_short_content,2026-09-08T02:48:32,2026-09-09T20:59:00,,,,,
33,3,Keep Our Servers Running,https://blog.archive.org/2026/09/01/keep-our-servers-running-your-recurring-donation-goes-3x-this-september/,Keep Our Servers Running,https://news.ycombinator.com/news,기타,,24,skipped_short_content,2026-09-08T02:48:32,2026-09-09T20:59:00,,,,,
34,4,Caltech Mathathon – first hackathon ever devoted to research level mathematics,https://mathathonchallenge.com/index.html,Caltech Mathathon – first hackathon ever devoted to research level mathematics,https://news.ycombinator.com/news,기타,,78,cleaned,2026-09-08T02:48:32,2026-09-09T20:58:54,캘텍(Caltech)에서 '매스어톤(Mathathon)' 행사가 개최됩니다. 이 행사는 연구 수준의 수학 분야를 전문적으로 다루는 해커톤입니다. 이는 연구 단계의 수학에 전념하는 역사상 최초의 해커톤이라는 점에서 중요한 의의를 갖습니다.,gemini-3.6-flash,completed,2026-09-08T05:17:22,2026-09-08T05:17:22
35,5,Simple Is Not Small,https://jyn.dev/simple-is-not-the-same-as-small/,Simple Is Not Small,https://news.ycombinator.com/news,기타,,19,cleaned,2026-09-08T02:48:32,2026-09-09T20:58:54,,,,,
36,6,[속보]초대 중수청장 최종 후보자에 보완수사권 폐지 공개 반대했던 ‘검찰 출신’ 김지용 변호사 - 경향신문,https://news.google.com/rss/articles/CBMiWkFVX3lxTFB0Y0I1T1E2SjdyV2ctTjViQzI1MjBadWFQb2lGb1U5a3pUak05NXBBVXJqTkVIQ0Y0d2p6NXVHWnNDMnlRczhQeGFibUM0dlNBQ04yYkJnTUltQdIBX0FVX3lxTE1WZmItQWRZbUpLR0NyTzhDUDZELTFwNmNNU1EzbDRKOVBPcGpmTDRoVjZqMi13SmVzbm9Pdk1wYV9nX19LOFlQLVJJTjlzVHJVSlNFTjB4RmJSdHNNNUtN?oc=5,"[속보]초대 중수청장 최종 후보자에 보완수사권 폐지 공개 반대했던 ‘검찰 출신’ 김지용 변호사 경향신문 전 춘천지검장 김지용, 초대 중수청장 후보 낙점 v.daum.net 초대 중수청장 최종 후보에 검찰 출신 김지용 변호사 MBC 뉴스 혁신당, 검찰 출신 중수청장 후보에 “강력한 우려…검찰 관행 답습 가능성” KBS 뉴스 檢출신 김지용 초대 중수청장 제청… 수사 매뉴얼도 입법예고 서울Pn",주요 뉴스 - Google 뉴스,기타,2026-09-07T07:01:00+00:00,218,cleaned,2026-09-08T02:48:32,2026-09-09T20:58:54,"제시된 뉴스 내용을 요약한 순서는 다음과 같습니다.

초대 중대범죄수사청(중수청)장 최종 후보로 검찰 출신이자 전 춘천지검장인 김지용 변호사가 낙점 및 제청되었습니다. 김 후보자는 과거 검찰의 보완수사권 폐지에 대해 공개적으로 반대했던 인물입니다. 이에 대해 혁신당은 검찰 출신 인선으로 인해 검찰 관행을 답습할 가능성이 있다며 강력한 우려를 표명했습니다. 한편, 이번 후보 제청과 함께 관련 수사 매뉴얼에 대한 입법예고도 함께 진행되었습니다.",gemini-3.6-flash,completed,2026-09-08T05:17:30,2026-09-08T05:17:30
37,7,"“강신철, 장남 양지마을 상가 은폐…재산내역서 빠져” - 동아일보",https://news.google.com/rss/articles/CBMid0FVX3lxTFBNaVN3b2E4MUUteXRVWWE0LVNFOFFlOUpjcGJWSE13UzFya01OeEhrNHNGcDVpMkFGcFpCb3JKbzd1MUhXVUh5dG5Fa1A3NC0ybmNQdkNTTWQxVU1YVll6Q3NkOXhBWk91OUJURXkwZEh2NUlmYVdz0gFmQVVfeXFMT1hLUTRjaWoxZmN6aU5jZl9TWFZMUEp0NGFsR2pRVFYtbEwtWEtjU0ZEbHhvbjB4Wjc3WS01R0phQi1VdU5CRndxZHBkcER0UWc4X05yNFdMSHBPQWxGVmhqVWczYVFB?oc=5,"“강신철, 장남 양지마을 상가 은폐…재산내역서 빠져” 동아일보 강신철 96년생 아들, 7억원 상가 매입…“외가 쪽 가족과 차용증 작성” 증여세 피하려했나 경향신문 천하람 ""아들 양지마을 상가 매입 은폐""‥강신철 ""누락 발견해 조치"" MBC 뉴스 강신철 후보자 측 ""인사청문안 재산 목록서 아들 부동산 누락‥추가 제출"" v.daum.net 천하람 “강신철, 위장전입해 아파트 부정청약” 주장에 姜 “사실 아냐” 국제신문",주요 뉴스 - Google 뉴스,기타,2026-09-07T06:55:00+00:00,233,cleaned,2026-09-08T02:48:32,2026-09-09T20:58:54,"제공된 뉴스 내용의 요약입니다.

강신철 후보자의 1996년생 장남이 7억 원 상당의 양지마을 상가를 매입했으나 인사청문 재산 내역서에서 누락된 것으로 확인됐습니다. 천하람 의원은 이를 재산 은폐 및 증여세 회피 의혹으로 지적했으나, 강 후보자 측은 단순 누락을 발견해 추가 제출 조치를 취했다고 해명했습니다. 한편, 천 의원이 추가로 제기한 위장전입을 통한 아파트 부정 청약 의혹에 대해 강 후보자는 사실이 아니라고 반박했습니다.",gemini-3.6-flash,completed,2026-09-08T05:17:38,2026-09-08T05:17:38
38,8,"이 대통령, 전도연·김도연과 셀카…“아내가 꼭 찍어오래서” - hani.co.kr",https://news.google.com/rss/articles/CBMia0FVX3lxTE8wVUhqS1ZtaS1hbmZPQ0dBd21VNnJWYXJiWEd2alV3ZFE5ZUlxT29TUXhWdzY3X0tBdmpvbWwtTGhQTG5EZ0o0aU1RTFQ2S1hVLXQyTlFjVzg5N0hFTGtEdEtneDRQWFo2QnNR?oc=5,"이 대통령, 전도연·김도연과 셀카…“아내가 꼭 찍어오래서” hani.co.kr 이 대통령, 프랑스서 이창동·전도연·설경구 등 영화인과 대화 [뉴시스Pic] 뉴시스 한·프, 영화·영상산업에 각각 5억 유로 투자…""위기를 기회로"" 대한민국 정책브리핑 李대통령 ""끝없는 자원과 잠재력, 제작비도 걱정 없어""…K-콘텐츠 세일즈 news1.kr 한-프, 장관급 ‘전략산업대화’ 신설…산업·통상·공급망 전략적 협력체계 지디넷코리아",주요 뉴스 - Google 뉴스,기타,2026-09-07T14:28:00+00:00,234,summarized,2026-09-08T02:48:32,2026-09-09T21:00:26,"제시된 뉴스 내용을 바탕으로 요약한 결과입니다.

이 대통령은 프랑스를 방문해 이창동, 전도연, 설경구 등 영화인들과 대화를 나누며 K-콘텐츠 홍보에 나섰습니다. 이와 함께 한국과 프랑스는 위기 극복을 위해 영화 및 영상 산업에 양국이 각각 5억 유로를 투자하기로 결정했습니다. 나아가 양국은 산업, 통상, 공급망 전반의 전략적 협력 체계를 강화하기 위해 장관급 '전략산업대화'를 신설하기로 했습니다.",gemini-3.6-flash,completed,2026-09-09T21:00:26,2026-09-09T21:00:26
39,9,"한동훈 “신약 로비, ‘민주당 오빠들 게이트’”…김승원 이어 최재성 녹취도 - hani.co.kr",https://news.google.com/rss/articles/CBMickFVX3lxTE5MMFRsS0ZTS2JTSm1qc21WZDgxQUNZTHd4Wmx5X0Vnc3hYTTZCWVpyM0tjZWhNSzlERzdZQXpXdDdsdnF6NXJRODhtUkllOVk5S1BYZ2dURExEMG82OXNLcnlFUHQ0cFR3VW1MbUNIeFFPQQ?oc=5,"한동훈 “신약 로비, ‘민주당 오빠들 게이트’”…김승원 이어 최재성 녹취도 hani.co.kr ""한동훈, 수사자료를 어떻게? 형사처벌 감"" 김승원 반격 JTBC [이현상의 시시각각] ‘사법 리스크 닮은꼴’ 장관 후보자 v.daum.net 검찰, ‘김승원 식약처 청탁’ 수사 때 ‘디넷’ 활용 불법 수사 정황 뉴스타파 송영길 ""韓, 모르는 사람 진술로 명예훼손""…최재성 ""삼류영화""(종합) 연합뉴스",주요 뉴스 - Google 뉴스,기타,2026-09-07T11:06:00+00:00,221,cleaned,2026-09-08T02:48:32,2026-09-09T20:58:54,,,,,
40,10,"한국어로 “호르무즈 파병, 침략 행위 공모”…이란 또 경고 - hani.co.kr",https://news.google.com/rss/articles/CBMidEFVX3lxTE50NWQ3d0FBZlI5TGVIaHBXbUZyMW1PRXpaSjNLaG5PU1BRWVU3SlJfaHgzRWp2T0d2SXVWSkNFMm92T1VKU21ERFFjZjhnYUk4VVozNzA3VDM5MjdybGtzX18tdDhudWktY2ktNmZEclE2RHVK?oc=5,"한국어로 “호르무즈 파병, 침략 행위 공모”…이란 또 경고 hani.co.kr 이란, 한글로 ""대가 따를 것""…‘파병 고심’ 드러낸 이 대통령 JTBC 한글로 ""심각한 결과 부를 것"" 이란 공개 경고 v.daum.net 이란, 한글로 한국 겨냥 ""호르무즈 군사개입시 심각한 결과""(종합2보) 연합뉴스 [사진] 한글로 한국에 경고한 이란 v.daum.net",주요 뉴스 - Google 뉴스,기타,2026-09-07T12:11:00+00:00,198,cleaned,2026-09-08T02:48:32,2026-09-09T20:58:54,,,,,
